team_initials,team_name,confederation,rank,previous_rank,points,previous_points
GAM,The Gambia,CAF,126,124,1137.47,1137.47
TOG,Togo,CAF,127,126,1128.92,1130.22
SDN,Sudan,CAF,128,130,1127.34,1124.91
COM,Comoros,CAF,129,127,1123.18,1127.44
TAN,Tanzania,CAF,130,131,1119.89,1121.91
ATG,Antigua and Barbuda,CONCACAF,131,132,1117.01,1117.01
CTA,Central African Republic,CAF,132,133,1116.97,1116.06
PHI,Philippines,AFC,133,134,1115.13,1115.13
LVA,Latvia,UEFA,134,129,1114.21,1125.36
TKM,Turkmenistan,AFC,135,135,1100.47,1100.47
SOL,Solomon Islands,OFC,136,137,1095.7,1092.56
RWA,Rwanda,CAF,137,136,1093.66,1095.04
ETH,Ethiopia,CAF,138,138,1091.19,1088.27
SUR,Suriname,CONCACAF,139,143,1077.3,1072.24
SKN,St Kitts and Nevis,CONCACAF,140,140,1076.91,1076.91
BDI,Burundi,CAF,141,141,1076.26,1076.26
NCA,Nicaragua,CONCACAF,142,139,1071.83,1079.18
SWZ,Eswatini,CAF,143,144,1070.89,1070.89
LTU,Lithuania,UEFA,144,142,1069.75,1074.08
HKG,Hong Kong,AFC,145,147,1062.39,1058.37
MAS,Malaysia,AFC,146,148,1062.32,1057.59
LES,Lesotho,CAF,147,145,1061.4,1061.4
BOT,Botswana,CAF,148,146,1056.46,1060.17
KUW,Kuwait,AFC,149,149,1053.41,1053.41
LBR,Liberia,CAF,150,150,1049.66,1051.25
AND,Andorra,UEFA,151,152,1035.2,1028.7
IDN,Indonesia,AFC,152,155,1033.9,1019.19
DOM,Dominican Republic,CONCACAF,153,151,1031.86,1031.86
MDV,Maldives,AFC,154,156,1026.09,1018.25
YEM,Yemen,AFC,155,153,1023.52,1023.52
AFG,Afghanistan,AFC,156,154,1023.04,1023.04
TPE,Chinese Taipei,AFC,157,157,1017.78,1017.78
MYA,Myanmar,AFC,158,158,1007.89,1011.91
PNG,Papua New Guinea,OFC,159,161,1007.46,997.6
SGP,Singapore,AFC,160,159,1003.5,1004.75
NCL,New Caledonia,OFC,161,160,995.58,999.7
TAH,Tahiti,OFC,162,162,995.11,995.11
FIJ,Fiji,OFC,163,163,989.43,993.37
VAN,Vanuatu,OFC,164,164,985.62,990.55
SSD,South Sudan,CAF,165,165,983.99,983.99
BRB,Barbados,CONCACAF,166,166,982.27,982.27
CUB,Cuba,CONCACAF,167,167,978.65,978.65
MLT,Malta,UEFA,168,169,977.92,974.68
BER,Bermuda,CONCACAF,169,168,977.47,977.47
PUR,Puerto Rico,CONCACAF,170,170,974.32,974.32
GUY,Guyana,CONCACAF,171,172,968.74,968.74
LCA,St Lucia,CONCACAF,172,173,965.66,965.66
GRN,Grenada,CONCACAF,173,171,963.72,969.0
MDA,Moldova,UEFA,174,177,961.23,944.96
NEP,Nepal,AFC,175,176,954.86,950.45
BLZ,Belize,CONCACAF,176,175,950.88,950.88
CAM,Cambodia,AFC,177,174,948.62,954.3
VIN,St Vincent and the Grenadines,CONCACAF,178,179,945.25,939.97
MSR,Montserrat,CONCACAF,179,178,940.78,940.78
MRI,Mauritius,CAF,180,180,932.02,932.02
CHA,Chad,CAF,181,181,930.22,931.98
MAC,Macau,AFC,182,182,922.1,922.1
MNG,Mongolia,AFC,183,184,913.55,913.55
DMA,Dominica,CONCACAF,184,185,911.51,911.51
BHU,Bhutan,AFC,185,186,910.96,910.96
STP,São Tomé and Príncipe,CAF,186,187,908.18,908.18
LAO,Laos,AFC,187,183,905.51,914.66
ASA,American Samoa,OFC,188,188,900.27,900.27
COK,Cook Islands,OFC,189,189,899.33,899.33
BRU,Brunei Darussalam,AFC,190,190,898.41,897.1
SAM,Samoa,OFC,191,191,894.26,894.26
BAN,Bangladesh,AFC,192,192,884.45,883.18
DJI,Djibouti,CAF,193,193,875.05,877.84
PAK,Pakistan,AFC,194,195,866.81,866.81
CAY,Cayman Islands,CONCACAF,195,196,865.72,865.72
LIE,Liechtenstein,UEFA,196,194,862.39,873.99
TGA,Tonga,OFC,197,197,861.81,861.81
TLS,Timor-Leste,AFC,198,199,860.06,860.06
SEY,Seychelles,CAF,199,198,859.56,860.48
ERI,Eritrea,CAF,200,201,855.56,855.56
ARU,Aruba,CONCACAF,201,202,855.37,855.37
BAH,Bahamas,CONCACAF,202,203,854.8,854.8
SOM,Somalia,CAF,203,204,854.72,854.72
GIB,Gibraltar,UEFA,204,200,852.16,856.55
GUM,Guam,AFC,205,205,838.33,838.33
TCA,Turks and Caicos Islands,CONCACAF,206,206,832.0,832.0
SRI,Sri Lanka,AFC,207,207,825.25,825.25
VIR,US Virgin Islands,CONCACAF,208,208,823.97,823.97
VGB,British Virgin Islands,CONCACAF,209,209,809.32,809.32
AIA,Anguilla,CONCACAF,210,210,790.74,790.74
SMR,San Marino,UEFA,211,211,762.22,763.82
